Place,latitude,longitude,name,desc
Raiatea Island,-16.8164132,-151.4552213,Raiatea Island,Ra'iātea French Polynesia
Rarotonga,-21.2292371,-159.7763491,Rarotonga,Rarotonga Cook Islands
Resolution Bay,-41.1141528,174.2171294,Resolution Bay,Resolution Bay New Zealand
Resolution Bay/Ohitahoo,-41.1141528,174.2171294,Resolution Bay,Resolution Bay New Zealand
River Plata,-35.1944557,-56.741207,River Plata,River Plate
Rocky Point,,,,
Romitura,-22.6496985,-152.8764726,Rimatara,Rimatara
Roohooga,-16.0589671,-145.6347694,Rotoava Tahiti,Rotoava Tahiti
Rose Island,,,,
Rosemary Island,-20.4845854,116.5904741,Rosemary Island,Rosemary Island Dampier Archipelago WA 6713 Australia
Rota,36.6236874,-6.3601441,Rota,11520 Rota Cádiz Spain
Rotches Island,-44.033333, -176.433333,Chatham Islands – Rēkohu,Chatham Islands – Rēkohu
Rotches(?) Island,-44.033333, -176.433333,Chatham Islands – Rēkohu,Chatham Islands – Rēkohu
Round Island,,,,
S.W. Pacific p. 71,-21.2044472,164.7276404,New Caledonia,New Caledonia
Sado Island,38.0183525,138.368082,Sado Island,Sado Niigata Prefecture Japan
Saint Bartholomew’s Bay,,,,
Saint Lawrence Island,63.326105,-170.0183821,Saint Lawrence Island,St Lawrence Island Alaska USA
Saipan,15.1515153,145.7297891,Saipan,Saipan CNMI
Sal,60.3900183,23.1171797,Sal,Salo Finland
Sal Island,16.7266152,-22.9297109,Sal Island,Sal Cape Verde
San Diego,32.715738,-117.1610838,San Diego,San Diego CA USA
San Francisco,37.7749295,-122.4194155,San Francisco,San Francisco CA USA
San Josef Island,,,,
Sandalwood Isle,-12.1706058,96.8066423,Cocos Islands,Cocos Islands
Sandwich Islands,-54.429579,-36.587909,Sandwich Islands,South Georgia and the South Sandwich Islands
Santa Catharina Brazil,-27.2423392,-50.2188556,Santa Catharina Brazil,State of Santa Catarina Brazil
Savage Island,46.5481845,-119.2991874,Savage Island,Savage Island Washington 99343 USA
Sea of Kamchatka,56.1327377,159.5314398,Sea of Kamchatka,Kamchatka Peninsula Kamchatka Krai Russia 684405
Seal Island,-34.1373395,18.5824944,Seal Island,Seal Island South Africa
Shanta Islands,54.9333361,137.497806,Shanta Islands Russia,Shanta Islands Russia
Shanter Bay,-40.9956663,147.0760302,Shanter Bay,Tam O'Shanter Bay Tasmania Australia
Shanter Islands,55,137.6,Shanter Islands,Shantarskiye Ostrova Khabarovskiy kray Russia 682564
Siden??? Island,,,,
Sidney Island,48.6003054,-123.290831,Sidney Island,Sidney Island Southern Gulf Islands BC Canada
Smith’s Island,,,,
St Matthews Island,60.4195763,-172.7448382,St Matthews Island,St Matthew Island Alaska USA
St Matthew’s Island,60.4195763,-172.7448382,St Matthew’s Island,St Matthew Island Alaska USA
